,Unnamed: 0,job_title,name_location,experience_level,job_description
473,473,Digital Marketing Intern,"Leading Edge technology Gulshan, Dhaka, Bangladesh On-site",Internship,"About the job

Leading Edge technology is hiring a Digital Marketing Virtual Internship.


1. Position: Digital Marketer


No of Vacancy: 5


Job Responsibilities:

1. Keep up-to-date with trends

2. Manage marketing insights

3. Plan and supervise marketing campaigns

4. Look into customer relationship management (CRM)

5. Website management and optimization

6. Social media page optimization

7. Track website traffic and other metrics

8. Optimize performance of the website

9. Give ideas as to how to increase ROI (returns on investment)

10. Provide reports to the managing teams and clients

11. Supervise and overlook marketing teams

12. Pitch new ideas to the client


Required Skills:

1. Good communication skills

2. Managerial skills

3. Minimum 6 months of experience in the digital marketing industry

4. Ability to generate and analyze data

5. Should be able to work under pressure

6. Knowledge of various metrics

7. SEO skills and knowledge


Internship: 4 Months (Unpaid)


Benefits of Internship Leading Edge technology:

He will be given an intern working certificate from our Company.


Other Benefits:

Lunch & Evening snacks (Partially Subsidised)

Working with friendly, passionate, and experienced teams

Use cutting edge of technologies"
474,474,Jr. Associate - Server & Systems - Technology (Contractual),"Daraz Dhaka, Bangladesh On-site",Temporary · Entry level,"About Daraz:

Founded in 2015, Daraz is South Asia's leading e-commerce platform in Pakistan, Bangladesh, Sri Lanka, Nepal and Myanmar. It empowers more than 100,000 active sellers with world-class marketplace technology to reach the fast-growing consumer class in a region of 500 million people. Through Daraz Express and Daraz Pay, it operates the most efficient and digitalised logistics and payments infrastructure in its markets. Daraz' vision is to be a champion of South Asia, serving 50 million customers and businesses by 2030.

For more information, please visit www.daraz.com.

Job Description:


Your role is to:

Diagnosing system hardware issues and software failures
Able to manage Centralized systems
Adherent to teamwork and always represent team in work and achievement
Motivated to learn and work with new technologies


A little bit about you:

B.Sc. in Computer Science or related subject from a reputed university
0-1 year of experience in relevant field. Freshers are encouraged to apply
Independent problem solving, self-directed, self-starting with strong analytical and problem-solving skills
Should have minimum knowledge on Windows/Linux system environment
Sufficient knowledge on industrial networking system
Worked as a system administrator is preferred


What we offer:

The international working environment in a start-up setting, and a unique opportunity to learn from the best in e-commerce (Alibaba Group) and business growth
A platform to learn from Alibaba’s world-leading ecosystem.
Rigorous training and exposure in team management, leadership, business analytics, and operations
An opportunity to train the next generation of business leaders in the ‘tech’ industry
Competitive salary and incentive package


Last date of application: January 30, 2023"
475,475,Back Office Executive,IT Solutions Bangladesh On-site,Full-time · Mid-Senior level,"This job is sourced from a job board. Learn more
Back office work can be a good career for someone who prefers to work in an office or is interested in working with the same people most days . Back office work is versatile but typically takes place within regular working hours. It can allow for consistency in your schedule and does not require extensive travel.

This job is provided by Shine.com
Desired Skills and Experience
""problem-solving abilities."", ""people skills."", ""leadership experience."", ""computer proficiency."""
476,476,IOS/React Native,Augusta Hitech Bangladesh Remote,"₹2,000,000/yr - ₹2,500,000/yr · Part-time","Augusta Hitech Soft Solution is Us based company. We develop high complexity integrated tech systems with the expertise of global leader. Our team works in fur primary areas, Product engineering for high complexity integrated technology system, cloud Engineering and security, Data Engineering and AI, Automation Engineering. We only deal with Niche technology like METAVERSE, BLOCKCHAIN DEVELOPMENT, AL

The Role

Responsibilities

Deep understanding with JavaScript.
Must be able to show debugging techniques
Know how to write clean code.
Must be able to code with React-Native
Must use React-Native-Debugger for debugging.
Be able to build and deploy React-Native code to iOS IPA
Must be able to show how to debug an iPad using a USB connector
Must be able to show how to debug an iPad using a simulator
Must know NPM and git

Ideal Profile

Skills Required

You possess a Degree/Diploma in Computer Science, Engineering or related field.
You have at least 5 years experience, ideally within a IT Consulting role.
Know how to use Linux/Unix CLI
Github workflows and actions
PHP backend API
You possess strong knowledge of IOS and React Native.
You are a strong networker & relationship builder
You are a strong team player who can manage multiple stakeholders
You enjoy finding creative solutions to problems

What's on Offer?

Work within a company with a solid track record of success
Flexible working options
Work alongside & learn from best in class talent"
477,477,Remote Back-End Java Developer Jobs,Turing Bangladesh Remote,Full-time · Entry level,"A US-based company that specializes in the digital transformation of the global financial industry is looking for a Back-End Java Developer. The selected candidate will build the product infrastructure and lead discussions on complex technical concepts and requirements. The revolutionary cloud-based platform can be configured in multiple ways by leveraging the company's growing library of digital financial apps. The company has raised more than $50 mn in funding so far. Developers who are capable of analyzing and understanding business requirements to deliver high-quality solutions are well-suited for this position.

Job Responsibilities:

Write clean, readable codes, and fix bugs
Build scalable, low latency, and highly performant services
Review other developer’s code and suggest improvements
Design, develop and deliver a fully functional product

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant experience as a back-end developer
Extensive experience with Java
Solid knowledge of Git, SQL, and NoSQL
Strong command over Object-Oriented Concepts
Prior experience working with Docker and Kubernetes is nice to have
Some knowledge of EJB Component Programming and Groovy is desirable"
478,478,Client Services Executive,"Daraz Dhaka, Bangladesh On-site",Full-time · Entry level,"About Daraz:
Founded in 2015, Daraz is South Asia's leading e-commerce platform in Pakistan, Bangladesh, Sri Lanka, Nepal, and Myanmar. It empowers more than 100,000 active sellers with world-class marketplace technology to reach the fast-growing consumer class in a region of 500 million people. Through Daraz Express and Daraz Pay, it operates the most efficient and digitalized logistics and payments infrastructure in its markets. Daraz's vision is to be a champion of South Asia, serving 50 million customers and businesses by 2030.

For more information, please visit www.daraz.com

Job Description:

This position will be responsible for looking after the client service business of Mercari Asia Ltd.

Your role is to:
Monitoring project progress from planning to execution to ensure it remains focused and evaluate its effectiveness.
Providing client servicing
Creation of Proposals and submissions
Providing creative ideas for the creation of a strategy
Researching for new business ventures and opportunities
Implement events
Foresee Shooting as per scripts
Write Synopsis for scripts of films
Provide a translation for any needed themes or write-ups
Monitor and Foresee Social Media Campaigns for social clients
Vendor Management
Checking on Vendor Supplies for Clients
Project related visit’s to client
Forecast business in upcoming months
Maintaining own department's social media
Updating the peripheral papers for the proposals
Creating new ideas and designs for proposals
Learning unique traits in the communication field
Checking on websites for the newest response to the proposal
Following up with proposal submissions

A little bit about you:
Graduation from any reputed university
A minimum of 1 to 2 years in a client base service agency experience and knowledge is a must.
Proficiency in the use of MS Office tools (especially Excel)
Excellent analytical and negotiation skills.
Excellent communication skills
Analytical and multitasking skills

What we offer:
The international working environment in a start-up setting, and a unique opportunity to learn from the best in e-commerce (Alibaba Group) and business growth
A platform to learn from Alibaba’s world-leading ecosystem.
Rigorous training and exposure in team management, leadership, business analytics, and operations
An opportunity to train the next generation of business leaders in the ‘tech’ industry
Competitive salary and incentive package

Last date of application: February 10, 2023"
479,479,Openshift Administrator,"Wipro Dhaka, Dhaka, Bangladesh On-site",Full-time,"Role Purpose

The purpose of the role is to resolve, maintain and manageclient’s software/ hardware/ network based on the service requestsraised from the end-user as per the defined SLA’s ensuring clientsatisfaction

Do
Ensure timely response of all the tickets raised by theclient end user
Service requests solutioning by maintaining quality parameters
Act as a custodian of client’s network/ server/ system/storage/ platform/ infrastructure and other equipment’s to keeptrack of each of their proper functioning and upkeep
Keep a check on the number of tickets raised (dial home/ email/chat/ IMS), ensuring right solutioning as per the defined resolutiontimeframe
Perform root cause analysis of the tickets raised and create anaction plan to resolve the problem to ensure right client satisfaction
Provide an acceptance and immediate resolution to the high prioritytickets/ service
Installing and configuring software/ hardware requirements based onservice requests
100% adherence to timeliness as per the priority of each issue, tomanage client expectations and ensure zero escalations
Provide application/ user access as per client requirements andrequests to ensure timely solutioning
Track all the tickets from acceptance to resolution stage as per theresolution time defined by the customer
Maintain timely backup of important data/ logs and managementresources to ensure the solution is of acceptable quality to maintainclient satisfaction
Coordinate with on-site team for complex problem resolution andensure timely client servicing
Review the log which Chat BOTS gather and ensure all the servicerequests/ issues are resolved in a timely manner



Stakeholder Interaction



Stakeholder Type

Stakeholder Identification

Purpose of Interaction

Internal

Project Manager

For governance and client relationship management

On-site project team

To resolve the complex problem/ issues at the site

Lead/ Sr. Administrator

Guide the administrators with the complex problems

External

Client

Resolving the tickets/ queries and servicing them



Display

Lists the competencies required to perform this role effectively:
Functional Competencies/ Skill
Process Excellence – Ability to follow the standards and normsto produce consistent results, provide effective control and reductionof risk – Expert
Systems Thinking – Understanding of the Wipro system(interrelatedness, interdependencies and boundaries) and perform problemsolving in a complex environment - Competent
Technical knowledge – knowledge of the various devices/network etc which the administrator have to service - Expert



Competency Levels

Foundation

Knowledgeable about the competency requirements. Demonstrates (inparts) frequently with minimal support and guidance.

Competent

Consistently demonstrates the full range of the competency withoutguidance. Extends the competency to difficult and unknown situations aswell.

Expert

Applies the competency in all situations and is serves as a guide toothers as well.

Master

Coaches others and builds organizational capability in the competencyarea. Serves as a key resource for that competency and is recognisedwithin the entire organization.

Behavioral Competencies
Problem solving
Execution excellence
Passion for results
Collaborative working

Deliver

No.

Performance Parameter

Measure

100% adherence to SLA/ timelines

Multiple cases of red time

Zero customer escalation

Client appreciation emails

OpenShift"
480,480,Google my business review,"Dream IT Jessore, Khulna, Bangladesh On-site",Full-time,I will provide 5 star positive review for your business improve.
481,481,Senior Technical Writer - Fully Remote,SMG - Service Management Group South Asia Remote,Full-time · Associate,"SMG – Service Management Group is hiring a Technical Writer to join our team!
Are you looking for the next professional opportunity that will challenge you and advance your career? Join our team now!
SMG helps organizations generate new revenue, grow existing revenue, reduce churn and detractors, and drive operational efficiencies. Our unique software with a service (SwaS) model puts a dual focus on platform technology and professional services, making it easy for brands to activate insights based on customer, patient, and employee feedback.
Technical Writers are responsible for writing and updating technical documentation related to SMG’s products using KCS best practices. Technical Writers have excellent writing skills and a strong technical background spanning a variety of technologies. Successful candidates are excellent communicators who can learn new technologies quickly and explain or demonstrate them to any audience. As a Technical Writer, you will work with a variety of teams and SMEs to fill gaps in our knowledge bases for customers and agents and our internal knowledge base for our agents and employees. This role is ideal for people who enjoy learning and sharing knowledge as the SME of a SaaS product or service.

Technical Writer’s Primary Responsibilities:
Reviewing requests for new articles or courses to be created or be updated
Creating or updating knowledge base articles (KBAs) while ensuring consistent, high-quality standards are maintained
Analyzing existing content for necessary changes after an update or process change
Creating or updating KBAs based on the update or process change
Creating or updating training materials based on the update or process change
Developing training materials
Use feedback from graduates and managers to improve training materials

Candidate Requirements:
Fluent in English with excellent writing skills
3+ yrs in writing technical documentation for internal and external audiences
3+ yrs in product management or a technical support role focused on providing root cause, technical solutions (configuration changes, code changes, no-code integrations).
Experience learning & maintaining complex application configurations
Proficiency using an HTML editor to generate documentation, preferably Zendesk
Experience reading and troubleshooting various coding languages, primarily C# & SQL, as well as supporting and troubleshooting Web based applications and APIs
Dedicated internet access (30Mb/s download / 20 Mb/s upload).

What we offer to our talent:
This is a fully remote, permanent, full-time position. You can work from anywhere.
Unlimited paid leave and 14 weeks of paid parental leave offered to all our associates globally.
Ample opportunities to learn and grow.
Diverse, experienced, and friendly team which will welcome you, support you and challenge you.
We are proud to be an equal opportunity employer. We celebrate diversity and create an inclusive work environment in which all our colleagues experience belonging, have their unique needs respected and met, have equal access to opportunities and resources, and feel fully engaged to contribute to the company’s success."
482,482,Remote Blockchain Developer Jobs,Turing Bangladesh Remote,Full-time · Entry level,"A rapidly-emerging company on a mission to build a cutting-edge financial app by leveraging the power of advanced technologies is looking for a Blockchain Developer. The developer will be contributing ideas for improvement across the organization by speaking up and proposing better ways of working. The company is developing a comprehensive platform that enables individuals to automate essential financial requirements by accessing world-class tools that will help them to accomplish their goals and dreams. This will be a full-time, long-term role requiring some overlap with the MT time zone.

Job Responsibilities:

Simplify blockchain technology for users and improve their financial outcomes
Develop a strong network integrating blockchain technology to ensure proper service
Build consumer application for financial budget based on blockchain
Communicate progress and risks to project stakeholders on a regular basis

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 10+ years of relevant experience as a blockchain developer
Extensive experience in Go/Golang, Java, JavaScript, and Typescript
Nice to have experience in UML
Demonstrable experience in software architecture
Excellent communication and interpersonal skills
Fluent in verbal and written English"
483,483,Aquaculture Specialist STTA (Bangladesh),"ME&A, Inc. Dhaka, Dhaka, Bangladesh On-site",Full-time · Mid-Senior level,"Position Name: Aquaculture Specialist

Position Type: Short Term (40 days of LOE to occur in Jan - April 2023)

Position Location: Bangladesh

Summary

On behalf of USAID/Bangladesh, ME&A a US based company leading the Bangladesh Monitoring, Evaluation, and Learning (BMEL) Activity is recruiting for an Aquaculture Specialist to participate in the final evaluation of the ""Feed the Future Bangladesh Aquaculture and Nutrition Activity (FTF-BANA)"". The five-year project takes a market systems approach to improving the value chain for farmed fish in the Zone of Influence and Zone of Resilience in Southern Bangladesh. Priority is given to expanding market linkage opportunities for women and youth, engaging the private sector, and improving nutrition outcomes in participating communities.

This position is only open to Bangladeshi nationals.

Individuals previously involved in the project, or with WorldFish over the last decade cannot be considered for this external evaluation.

Responsibilities

Provide technical assistance in the evaluation of the aquaculture productivity, policy areas, and private sector engagement interventions of the activity, among others.
Actively participate in the desk review of materials and assist the team leader in developing methodologies, work plans and report outlines.
Assist the team leader in setting and conducting interviews with relevant stakeholders and actively take part in these.
Participate in team meetings, site visits, and draft the report of the evaluation.
Participate in presenting the report to USAID or other stakeholders and be responsible for addressing pertinent comments provided by USAID/Bangladesh or other stakeholders.

Required Competencies

Minimum of a master's degree in aquaculture, fisheries, limnology or any other related areas
Minimum of 10 years of experience in aquaculture production, preferably with expertise in freshwater/fishpond culture
Experience with private sector market systems in the aquaculture value chain
Evaluation and/or assessment experience with projects with similar scope and focus; preference to include mixed method evaluations
Experience interacting with a range of stakeholders from high level government officials to local service providers and community members
Strong analytical, facilitation, presentation and consultation skills
Strong English oral communications and writing skills
Women are encouraged to apply

All applications and CVs must be submitted in English.

ME&A, Inc. is committed to hiring and retaining a diverse workforce. We are an Equal Opportunity Employer, making decisions without regard to race, color, religion, sex, national origin, age, veteran status, disability, or any other protected class. ME&A will make reasonable accommodations in compliance with Title VII of the Civil Rights Act and the Americans with Disabilities Act of 1990. For our EEO Policy Statement and a copy of our EEO Policy Statement and information on your EEO rights under the law.

ME&A is committed to the principle of equal employment opportunity for all applicants."
484,484,Remote Frontend React Developer (4) Jobs,Turing Bangladesh Remote,Full-time · Mid-Senior level,"A well-established, NASDAQ-listed cryptocurrency platform, is looking for a Front-end React Native Developer. The developer will be working on delivering high-quality products by building new features and fixing bugs. The company has managed to raise $547.3mn in funding so far. The online platform allows consumers, merchants, and traders to transact through digital currency. This role demands some time overlap with the PST time zone.

Job Responsibilities:

Plan and develop a long term vision for upgrades and maintenance tasks of featured web and mobile platforms
Develop reliable user experiences by building intuitive UIs
Work on assigned projects using modern tools like React, React Native, Typescript, React Navigation, Jest and Webpack
Collaborate with engineers, product managers and senior leadership to create quarterly goals
Work as a mentor to junior teammates and provide guidance on designing techniques and coding standards
Bring in a positive environment to every meeting, and ensure every team member feels included in brainstorming sessions

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
A minimum of 5 years of experience in software engineering and with 4 years in developing web apps and shipping user-facing features
Experience of using JavaScript and other new component-based JS frameworks like React
Previous professional experience in designing and delivering user-facing features using component-based UI frameworks
Actively stay updated with latest trends about front-end architecture, to maintain efficient performance, security features and usability
Must have experience of product and design life cycles, and collaborating closely with design and engineering teams
Ability to develop efficient and bug free codes that meets customer requirements
Strong knowledge of React Native, JavaScript and React
Knowledge of SEO, Google APIs, performance and marketing experience
Strong interpersonal skills and ability to speak fluent English"
485,485,"Director of Finance and Administration, Bangladesh Access to Finance Activity","ACDI/VOCA Dhaka, Dhaka, Bangladesh Hybrid",Full-time · Director,"Since 1963 and in 148 countries, ACDI/VOCA has empowered people in developing and transitional nations to succeed in the global economy. Based in Washington, D.C., ACDI/VOCA is a nonprofit international development organization that designs and delivers technical and management solutions in agriculture, economic growth, and resilience to promote economic prosperity and social inclusion.

Director of Finance and Administration, Bangladesh Access to Finance Activity

ACDI/VOCA is seeking a Director of Finance and Administration for an anticipated access to finance program in Bangladesh funded by USAID. The program will increase access to finance for small- and medium-sized agribusinesses, smallholder farmers, and the rural poor to become more creditworthy, and stimulate increased lending from banks, microfinance institutions, and other lenders through the use of blended finance.

The Director of Finance and Administration will provide leadership and direction to the finance and operations team with close oversight of the project’s finances, including financial analysis and accounting management. The program is anticipated to start in 2023 and this position will be based in Dhaka, Bangladesh.

Develop, oversee, and monitor all financial and accounting systems, policies, procedures, and internal controls, adapting them as necessary to meet changing regulations and best practices
Establish efficient financial and operational systems including internal audits, compliance, and risk management
Lead the annual budgeting process and review all financial plans and budgets, monitoring progress and changes
Prepare and execute action plans to improve the efficiency and effectiveness of finance and administrative operations and to mitigate operational and compliance risks
Periodically assess the efficiency and effectiveness of finance and administration procedures in relation to the delivery of technical activities on time and at optimum cost
Ensure that Program funds are utilized appropriately by the close of the fiscal year
Comply with all USAID rules and regulations and ACDI/VOCA policies and procedures relating to finance and administration
Oversee annual financial audits of program and ensure that sub grantees comply with all audit and financial review requirements
Manage cash disbursement and petty cash account
Track USAID approvals for travel, hiring, and equipment procurement
Bachelor’s degree in finance, economics, business administration, or related field is required; master’s degree is preferred.
Minimum 10 years of progressive work experience in financial control and audit related field including minimum 5 years of experience in a senior management position, providing administrative oversight and management systems development.
Knowledge of and experience with USAID and/or other international donor programs’ rules and regulations related to procurement and finance is required.
Experience working with financial institutions or private sector investors in Bangladesh a plus.
Fluency in English required, Bangla preferred.

Bangladeshi nationals are strongly encouraged to apply.

Please apply online at www.acdivoca.org/international-jobs. The applications will be reviewed promptly upon receipt, only finalists will be contacted. ACDI/VOCA is an equal opportunity employer. Women, minorities and people from diverse groups are encouraged to apply. ACDI/VOCA will never request payment or charge a fee to apply for any position."
486,486,"Online Simple Typing Job, No Target, Daily Payouts",sp solutions Bangladesh Hybrid,Part-time · Entry level,"This job is sourced from a job board. Learn more
Job Description

We need friendly /female candidates who have basic information of computer, passionate & willing be successful with us. You may continue with your regular job & still with us. targets, pressure.

Your efforts & your income!

Online Data Entry Jobs Work From Home Jobs in india Part Time Jobs Typing Jobs Computer Operator without investment for freshers and 12th pass college students.

Weekly Payout

For More Details

Raaj Sir

9096139260

9129217692

Contact via whatsapp
Job Function: Accounting/Tax/Company Secretary/Audit,Quality/Process Control
Industry: Accounting-Tax/Consulting, Catering/Food Services/Restaurant
Specialization:Audit & Risk,Company Secretary,Taxation,Six Sigma
Role: Accountant/ Accounts Executive, Payroll Accountant, Payroll/ Compensation - Manager
Qualification:
Any Graduate
Employment Type: Part Time

Job Posted by Company

sp solutions

We offer best work opportunities n we outsour"
487,487,SaaS Junior Architect,Sapat Mada Bangladesh Remote,Contract,"We are recruiting for a Platform Architect. This position would be suitable for either an experienced Architect or a Junior Architect or a Software Developer looking to take the next steps into architecture as this opportunity will allow you to continually learn and develop.

The Architect team are currently going through expansion and they are looking for a Platform / Software Architect to join the team. This position would suit someone who is excited by new technology, has a strong software background and who has created large scale SaaS platforms. The project will be working on a new corporate and public Wi-Fi offering and your role will be of Technical/Solutions Architect.

What will you be doing:
Responsible for working with the stakeholder to understand the product blueprint and set direction for software development and platforms.
Accountable for the designs of the platforms and integration plan with other platforms in the ecosystem
The person shall be working individually to design and draft the product for the 'Alpha Phase'.
Driving continuous improvement and automation

What experience do you need:
Experience of any SaaS platforms used by a high volume of subscribers/customers.
Strong background and experience of implementing solutions on premise or in cloud (AWS, Azure, GCP)
Communicate the product and data architecture and ensure the adherence and the value-added of enterprise methodologies and standards.
Awareness and understanding of data security and privacy.
Define and promote software and data security standards aligned with security policy.
Understanding or routing principles, infrastructure, cloud and databases.
Ability to support business case justification using business scenario modelling and perform benefits analysis
Strong interpersonal and communication skills

If you are interested in this opportunity and have the required skills and experience then please submit your CV to the job poster directly."
488,488,Business Development Specialist,PeopleScope (Asia) Bangladesh Remote,Full-time · Mid-Senior level,"Your vendor of choice for staffing requirements in Asia

PeopleScope pride ourselves as being able to provide clients access to talent pools and networks across South East Asia, China, Taiwan, Hong Kong and Korea. The ability to attract and have access to talents across Asia Pacific put us in a unique position to be the vendor of choice for your staffing requirements.

We emphasize on two aspects – Clients’ Requirements and Talents’ Growth. Our solutions are specially tailored to ensure that our clients’ staffing requirements are being specifically met. We take special care of our talents who work with us, matching their aspirations to the career that they embark on.

The Role

Reporting to the Project manager, responsible for tracking and managing prospecting, qualification and nurture activities, providing accurate weekly forecasts to the marketing and sales organization on the volume of leads expected to achieve MQL status.

Your Responsibilities Will Include

To conduct prospecting call and desk research database of potential accounts in order to ensure all key details – decision maker names, addresses, current IT providers, etc. – are identified as well as mapping the decision-making structure of each target account.
To utilize specialist research tools (i.e., LinkedIn/ online research) to identify business challenges and sales opportunities within targeted accounts to produce a regular flow of qualified sales ready leads for the direct and channel sales team to pursue.
To build / nurture close business relationships with selected accounts in order to ensure that our solution is at the forefront of their thinking when ready to review or has a critical business need.
Qualify prospects against established criteria prior to passing them to field sales team or channel sales team as marketing qualified leads (MQLs).
Receive pre-determined groups of prospects back from field or channel sales for further nurturing using both the telephone and email.
Process in-bound leads, both telephone and web-based (eg. Request a quote or contact us from through the company website)
To work closely with Regional Sales Director and the sales team on any local campaigns or óne off’ events – such as Webinars & industry events – in terms of both profiling and follow up.
To accurately update and maintain Salesforce.com and weekly pipeline forecasts on the volume of leads expected to achieve MQL status.
To take part in regular one to ones with Field Marketing / Marketing Operations to give/receive feedback, monitor performance / identify training needs. Take responsibility for the acquisition, structure & integrity of company and contact data, including customers, prospects and Multi-National Corporations (MNCs).

Ideal Profile

Skills Required

Excellent verbal communication skills with a pleasant and confident telephone voice in speaking with business / technical decision makers.
Exceptional business written communication and grammar is a must.
Proficiency in Microsoft Office Suite, including Word and Outlook, Salesforce and LinkedIn are a plus.
5+ years working experience (in B2B IT / telecom industry is a plus) with/or 3+ years of telemarketing or tele sales experience in up sell or cross selling of solutions related to data center, collocation, network, managed services or private / public cloud.
Fluent in Mandarin in order to be able to effectively liaise with stakeholders in the region.
Bachelor’s or Associates degree in business management or related field preferred.
Sales ready leads generated and accepted by sales.
Percentage of appointments set deemed worthwhile by sales team.
Pipeline value achieved from the lead(s) passed.
Forecast accuracy against target.

Compensation Structure

Base salary
Variable - Based on meeting sales ready opportunities accepted by Sales and pipeline value.

What's on Offer?

Regional Role
Flexible working options
Attractive Salary & Benefits
A role that offers a breadth of learning opportunities"
489,489,Program Manager-Cooperative Development,Heifer International Bangladesh On-site,Full-time · Mid-Senior level,"Description

Re-Advertisement

Heifer International is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, gender, sexual orientation, age, status as a protected veteran, among other things, or status as a qualified individual with some form of specially-abled.

FUNCTION:

The Program Manager-Cooperative Development is responsible for ensuring the successful, efficient, and effective functioning of all cooperatives in the program. This includes providing support needed for co-ops to form themselves into business hubs (member services, governance, management, marketing, finance, etc.). The Manager also helps to ensure the capacity building of cooperatives’ principles, values, and business development in collaboration with the signature program team.

RESPONSIBILIIES AND DELIVERABLES: (including approximate percentage effort)

Cooperative Development (45%)

Lead in formulating the cooperative development strategy for signature programs.
Update and implement policies, procedures and systems for cooperative development in alignment with Heifer’s signature program strategy.
Facilitate and monitor pre-cooperative orientation activities in the self-help groups (SHGs) and clusters of SHGs as they develop into cooperatives and unions.
Support in facilitating SHGs in the formation of primary cooperatives and support in the registration process.
Facilitate the capacity building of cooperative/union governing board and management in effective and efficient decision making, financial management, human resource management, operation and strategic planning and implementation, conflict management, and democratic governance.
Monitor, support and backstop the cooperatives/unions for effective functioning.
Build relationships with external agencies (public and private), and facilitate engagement with similar organizations (unions, federations).

Cooperative Business (40%)

Support co-ops in formulating short- and long-term strategies and bankable business plans and ensure their effective implementation.
Support co-ops to ensure the cooperative-owned business hubs are appropriately linked to the markets and functioning sustainably.
Support Catalytic Leverage Funds mobilization and investment for sustainable growth of co-ops’ agri-enterprises.
Work with the signature program team to develop cooperatives as business hubs with backward and forward linkages into the entire value chain.
Support in developing business relationships with financial institutions, banks, and other value chain actors.
Support in developing services to co-op members (finance, inputs, training, and support services).
Support in increasing the business transactions of FOABs (volume and value of services and transactions-purchase sales, through FOAB).
Support in branding and marketing services to co-ops (selling quality products and services, promotion, distribution, bulking, and branding).

Training and Capacity Building (15%)

Develop and deliver training packages/modules for project partners, primary cooperatives, cooperative unions, and federations.
Develop guidelines for the formation, management and governance of cooperatives.
Facilitate cooperatives in the orientation of new non-Heifer members to have a fuller understanding of co-op principles and values.
Guide co-ops in conducting periodic PSRP and reinforcing values.
Facilitate cross-learning among cooperatives and encourage the adaptation of best practices.

May Perform Other Job-related Duties As Assigned

QUALIFICATIONS AND SKILLS:

Bachelor’s degree in sociology, agriculture economics, community development, business management, enterprise development, or related field, plus seven (7) years of related experience OR Master’s degree plus five (5) years of related experience.
A minimum of five years of relevant work experience in the field of cooperative development, agriculture/livestock value chains including access to finance.
Knowledge of training individuals and teams using participatory methodologies.
Knowledge of and experience with or within community organizations.
Fluent in national language and English, spoken as well as written.
Have an interest in animals/agriculture/community development.
Skills with Microsoft Office package, internet browser, and other appropriate technology.
Ability to implement and maintain various capacity assessment tools for quality and accountability assurance of cooperatives and agribusinesses.
Working knowledge of sustainable livelihoods, value chain development and market systems development.
Exceptional communication skills with the ability to both help groups reach agreements and to represent collective perspectives.
Strong commitment to the shared leadership model.
Knowledge of different training topics such as social capital, gender, AC development documentation, etc.
ESSENTIAL COMPETENCIES:

Demonstrate a high degree of honesty and integrity.
Ability and willingness to work a flexible schedule.
Motivated to work responsibly with little supervision.
Produce and present reports in a well-designed and attractive format with superior attention to detail.
Ability to meet and deal with others in a courteous and tactful manner.
Constant face-to-face, telephone and electronic communication with colleagues, potential donors, and the general public.
Constant setting, standing and walking, with occasional bending and lifting; may work at a computer foe extended periods of time.
Willingness and ability to travel extensively, both locally and internationally.

Job Location: Sirajganj, Bangladesh

The last date of the application submission is on December 26, 2022."
490,490,Shipping Assistant,Dhingra Pharma Bangladesh On-site,Full-time · Entry level,"This job is sourced from a job board. Learn more
Shipping assistants process incoming and outgoing shipments and assist the shipping manager. Shipping companies and other businesses that move large amounts of stock hire shipping assistants to work full-time hours, primarily during daytime shifts. Shipping assistants mostly work in warehouses and are rarely required to travel to perform their regular job duties. Shipping assistants report to the shipping manager and work within a collaborative environment.

Our certified resume writers have created a library of resume samples to show you exactly what a strong resume looks like. Use them as-is or customize them to your needs.

One extra step to impress a manager: A growing number of hiring professionals read cover letters to determine whether theyll interview a candidate or not. Use our cover letter templates to craft a complete application that lands you the interview.

This job is provided by Shine.com
Desired Skills and Experience
""physical fitness"", ""organizational development"", ""culture change"", ""maintain inventory"", ""telecommunications software"", ""computer science"", ""communication engineering"", ""attention to detail"", multitasking, ""time management"""
